Sample,AIRSPEED,ACCN LAT,ACCN LONG,ACCN NORM,AILERON POS,ALTITUDE,ELEV POS L,ELEV POS R,FLAP POS,FUEL FLOW 1,FUEL FLOW 2,HEADING,OAT L,NP2,NP1,NL2,NL1,NH2,NH1,ITT2,ITT1,PITCH ANGLE,PITCH TRIM 100,RAD ALT,ROLL ANGLE,RUDDER POS,SPLR INBD L,SPLR INBD R,SPLR OTBD L,SPLR OTBD R,TQ1,TQ2,ROC,Phase
,[ knots ],[ g ],[ g ],[ g ],[ deg ],[ feet ],[ deg ],[ deg ],[ deg ],[ pph ],[ pph ],[ deg ],[ deg C ],[ rpm ],[ rpm ],[ % ],[ % ],[ % ],[ % ],[ deg  ],[ deg  ],[ deg ],[ deg ],[ feet ],[ deg ],[ deg ],[ deg ],[ deg ],[ deg ],[ deg ],[ % ],[ % ],,
1,0,-0.002,-0.002,0.9908,-0.373,-504,-18.71,-19.08,15.533,2,0,187.4,32,0,0,0.1,0,0,0,0,0,-0.1,-1.7858,1,0.2,0.2,1.94,1.25,1.85,2.41,0,0,0,LVL
2,0,-0.002,-0.002,0.9931,-0.361,1544,-18.66,-19.06,0,0,0,187.4,32,0,0,0.1,0,0,0,292.2,276.9,-0.1,-1.7723,2,0.2,0.23,1.95,1.29,1.82,2.43,0,0,122880,CL
3,0,-0.002,-0.0059,0.9977,-0.361,1544,-18.71,-19.02,15.533,5,0,187.4,32,0,0,0.1,0,0,0,0,0,-0.1,-1.7858,1,0.2,0.26,1.91,1.25,1.83,2.43,0,0.1,0,CL
4,0,-0.002,-0.002,0.9954,-0.313,1544,-18.74,-19.05,0,0,0,187.4,32,0,0,0.1,0,0,0,285.6,277.2,-0.1,-1.779,1,0.2,0.31,1.94,1.28,1.83,2.41,0,0,0,CL
5,0,-0.0039,-0.002,0.9977,-0.276,1544,-18.69,-19.03,15.533,0,0,187.4,32,1.1,0,0.1,0,0,0,0,0,-0.1,-1.779,1,0.2,0.39,1.95,1.28,1.82,2.47,0,0.1,0,CL
6,0,-0.002,-0.0059,0.9977,-0.3,1544,-18.7,-19.06,0,0,0,187.4,32,0,0,0.1,0,0,0,319.5,277.2,-0.1,-1.7858,1,0.2,0.39,1.95,1.29,1.83,2.43,0,0.2,0,CL
7,0,-0.0039,-0.002,0.9977,-0.337,1544,-18.69,-19.03,15.533,6,0,187.4,32,1.1,0,0,0,0,0,0,0,-0.1,-1.7858,1,0.2,0.39,1.95,1.28,1.82,2.43,0,0,0,CL
8,0,-0.002,-0.002,0.9931,-0.361,1544,-18.7,-19.06,0,0,0,187.4,32,0,0,0.1,0,0,0,283.2,277.2,-0.1,-1.7723,1,0.2,0.33,1.95,1.31,1.83,2.45,0,0.1,0,CL
9,0,-0.002,-0.0059,0.9931,-0.337,1544,-18.71,-19.03,15.522,0,2,187.4,32,0,0,0.1,0.1,0,0,0,0,-0.1,-1.779,1,0.2,0.31,1.94,1.28,1.82,2.43,0,0,0,CL
