Sample,AIRSPEED  L,AIRSPEED R,ALTITUDE L,ALTITUDE R,AP ENGAGED,VHF3 PTT,VHF2 PTT,VHF1 PTT,TIME GMT (SS),TIME GMT (MM),TIME GMT (HH),TIME ELAPSED,TQ 2,TQ 1,ACCN NORM,ACCN LONG,ACCN LAT,FLAP POS,HEADING,AIRSPEED_AVG,ALTITUDE_AVG,TQ_AVG,VERTICAL_SPEED,VERTICAL_SPEED_SMOOTH,ACCEL_NORM_DIFF,ALTITUDE_AGL,Phase
1,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,24,40,16,,3,3,1.0195,-0.0215,-0.0391,9.932,30.8,0,129,3,,,,33,GROUND
2,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,3,3,0.9063,0.002,0.041,,30.8,0,129,3,0,,-0.1132,33,GROUND
3,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,490,3,3,0.9922,-0.0117,0.0156,9.932,31.2,0,129,3,0,,0.0859,33,GROUND
4,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,3,0.9727,-0.0078,0.0059,,31.3,0,129,2.75,0,,-0.0195,33,GROUND
5,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,28,40,16,,2.5,3,0.9766,-0.0117,0,9.932,31.4,0,129,2.75,0,,0.0039,33,GROUND
6,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9727,-0.0215,-0.0117,,31.6,0,128,2.5,-120,,-0.0039,32,GROUND
7,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,494,2.5,2.5,0.9766,-0.0059,0,9.932,31.5,0,129,2.5,120,-12,0.0039,33,GROUND
8,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9961,-0.0234,-0.0059,,31,0,128,2.5,-120,0,0.0195,32,GROUND
9,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,32,40,16,,2.5,2.5,0.9844,-0.0273,0.0176,9.932,30.8,0,129,2.5,120,0,-0.0117,33,GROUND
10,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,1.0078,-0.0254,-0.043,,30.9,0,128,2.5,-120,0,0.0234,32,GROUND
