Sample,Time(sec),Time(min),RawValue,TextValue,Units,SessionNum,SessionID,SessionType,Phase
1,0,0,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
2,4,0.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
3,8,0.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
4,12,0.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
5,16,0.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
6,20,0.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
7,24,0.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
8,28,0.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
9,32,0.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
10,36,0.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
11,40,0.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
12,44,0.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
13,48,0.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
14,52,0.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
15,56,0.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
16,60,1,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
17,64,1.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
18,68,1.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
19,72,1.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
20,76,1.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
21,80,1.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
22,84,1.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
23,88,1.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
24,92,1.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
25,96,1.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
26,100,1.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
27,104,1.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
28,108,1.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
29,112,1.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
30,116,1.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
31,120,2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
32,124,2.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
33,128,2.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
34,132,2.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
35,136,2.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
36,140,2.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
37,144,2.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
38,148,2.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
39,152,2.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
40,156,2.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
41,160,2.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,GROUND
42,164,2.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,TAKEOFF
43,168,2.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,TAKEOFF
44,172,2.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,TAKEOFF
45,176,2.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,TAKEOFF
