Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltB,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,amp1,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 Torq,E1 NP,E1 NG,E1 ITT,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,AIRSPEED_AVG,ALTITUDE_AVG,FLAPS_AVG,SPEEDBRAKE_DEPLOYED,VERTICAL_ACCEL,TQ_AVG,VERTICAL_SPEED,VERTICAL_SPEED_SMOOTH,ACCEL_NORM_DIFF,ALTITUDE_AGL,IS_AIRBORNE,PHASE
6/4/2025, 08:03:58,  +00:00,     GV,-1.3003169,35.0590935,4815.0,29.92,5106.5,26.8,0.0,0.0,-12.32,1.6,-0.31,0.0,0.0,36.7,72.3,28.1,44.2,84.05,68.24,16.17,167.59,91.81,152.77,913.47,55.69,623.42,5054.7,0.0,  GPS,92.7,113.1,115.9,118.0,125.3,-0.051,       ,       ,      ,95.0,92.6,0.9,0.0,  NONE,   NONE,      ,      ,0.0,     3D,3704.0,      ,       ,65.5,       ,0.0,5106.5,0,False,1.0,152.77,-12.32,-12.32,,0.5,False,GROUND
6/4/2025, 08:03:59,  +00:00,     GV,-1.3003169,35.0590935,4815.0,29.92,5106.5,26.8,0.0,0.0,-9.82,1.58,-0.3,0.0,-0.01,36.7,72.3,28.1,43.8,84.05,68.24,16.17,167.55,91.79,144.49,965.24,55.7,624.84,5054.7,0.0,  GPS,92.7,113.1,115.9,118.0,125.3,-0.051,       ,       ,      ,95.0,92.6,0.9,0.0,  NONE,   NONE,      ,      ,0.0,     3D,3704.0,      ,       ,65.5,       ,0.0,5106.5,0,False,1.0,144.49,-9.82,-9.82,-0.01,0.5,False,GROUND
6/4/2025, 08:04:00,  +00:00,     GV,-1.3003173,35.0590935,4815.0,29.92,5106.4,26.5,0.0,0.0,-7.94,1.54,-0.3,0.01,0.0,36.7,72.3,28.1,42.7,84.05,68.24,16.17,167.48,91.84,138.49,995.79,55.7,625.63,5054.7,0.0,  GPS,92.7,113.1,115.9,118.0,125.3,-0.051,       ,       ,      ,95.0,92.6,0.9,0.0,  NONE,   NONE,      ,      ,0.0,     3D,3704.0,      ,       ,65.5,       ,0.0,5106.4,0,False,1.0,138.49,-7.94,-7.94,0.01,0.3999999999996362,False,GROUND
6/4/2025, 08:04:01,  +00:00,     GV,-1.3003173,35.0590935,4815.0,29.92,5106.4,26.5,0.0,0.0,-7.42,1.54,-0.31,0.01,0.0,36.7,72.3,28.1,42.8,84.18,68.24,16.17,167.4,91.76,134.34,1020.09,55.71,626.65,5054.6,0.0,  GPS,92.7,113.1,115.9,118.0,125.3,-0.051,       ,       ,      ,95.0,92.6,0.9,0.0,  NONE,   NONE,      ,      ,0.0,     3D,3704.0,      ,       ,65.5,       ,0.0,5106.4,0,False,1.0,134.34,-7.42,-7.42,0.0,0.3999999999996362,False,GROUND
6/4/2025, 08:04:02,  +00:00,     GV,-1.3003173,35.0590935,4815.0,29.92,5106.4,26.5,0.0,0.0,-11.41,1.54,-0.32,0.0,0.0,36.7,72.3,28.1,42.2,84.18,68.09,16.19,167.3,91.81,131.42,1038.36,55.7,627.89,5054.6,0.0,  GPS,92.7,113.1,115.9,118.0,125.3,-0.051,       ,       ,      ,95.0,92.6,0.9,0.0,  NONE,   NONE,      ,      ,0.0,     3D,3704.0,      ,       ,65.5,       ,0.0,5106.4,0,False,1.0,131.42,-11.41,-11.41,0.0,0.3999999999996362,False,GROUND
6/4/2025, 08:04:03,  +00:00,     GV,-1.3003175,35.0590935,4815.0,29.92,5106.1,26.5,0.0,0.0,-12.24,1.51,-0.32,0.01,0.0,36.7,72.3,28.4,58.6,84.18,68.09,17.79,167.2,91.75,137.53,1060.45,57.13,640.93,5054.3,0.0,  GPS,92.7,113.1,115.9,118.0,125.3,-0.051,       ,       ,      ,95.0,92.6,0.9,0.0,  NONE,   NONE,      ,      ,-15.7,     3D,3704.0,      ,       ,65.5,       ,0.0,5106.1,0,False,1.0,137.53,-12.24,-9.602,0.0,0.1000000000003638,False,GROUND
6/4/2025, 08:04:04,  +00:00,     GV,-1.3003169,35.0590935,4815.0,29.92,5106.2,26.2,0.0,0.0,-9.58,1.48,-0.34,0.01,-0.01,36.7,72.3,28.5,57.4,84.18,68.09,18.81,167.08,91.68,149.99,1092.82,58.99,667.68,5054.4,0.0,  GPS,92.7,113.1,115.9,118.0,125.3,-0.051,       ,       ,      ,95.0,92.6,0.9,0.0,  NONE,   NONE,      ,      ,0.0,     3D,3704.0,      ,       ,65.5,       ,0.0,5106.2,0,False,1.0,149.99,-9.58,-8.742999999999999,-0.01,0.1999999999998181,False,GROUND
6/4/2025, 08:04:05,  +00:00,     GV,-1.3003167,35.0590935,4815.0,29.92,5106.1,26.2,0.0,0.0,-10.9,1.47,-0.34,0.0,-0.01,36.7,72.3,28.5,55.3,84.18,68.09,20.34,166.95,91.62,167.09,1143.28,61.46,676.24,5054.3,0.0,  GPS,92.7,113.1,115.9,118.0,125.3,-0.051,       ,       ,      ,95.0,92.6,0.9,0.0,  NONE,   NONE,      ,      ,0.0,     3D,3704.0,      ,       ,65.5,       ,0.0,5106.1,0,False,1.0,167.09,-10.9,-8.657,0.0,0.1000000000003638,False,GROUND
6/4/2025, 08:04:06,  +00:00,     GV,-1.3003167,35.0590935,4815.0,29.92,5106.0,26.2,0.0,0.0,-9.27,1.42,-0.35,0.01,0.0,36.7,72.3,28.5,52.6,84.18,67.94,22.78,166.81,91.72,201.89,1223.72,65.68,700.48,5054.2,0.0,  GPS,92.7,113.1,115.9,118.0,125.3,-0.051,       ,       ,      ,95.0,92.6,0.9,0.0,  NONE,   NONE,      ,      ,0.0,     3D,3704.0,      ,       ,65.5,       ,0.0,5106.0,0,False,1.0,201.89,-9.27,-8.633,0.01,0.0,False,GROUND
6/4/2025, 08:04:07,  +00:00,     GV,-1.3003167,35.0590935,4815.0,29.92,5106.0,26.2,0.0,0.0,-5.12,1.34,-0.35,0.0,-0.01,36.7,72.3,28.5,51.3,84.18,67.94,23.37,166.67,91.74,232.73,1304.62,68.14,699.84,5054.2,0.0,  GPS,92.7,113.1,115.9,118.0,125.3,-0.051,       ,       ,      ,95.0,92.6,0.9,0.0,  NONE,   NONE,      ,      ,0.0,     3D,3704.0,      ,       ,66.0,       ,0.0,5106.0,0,False,1.0,232.73,-5.12,-8.43,-0.01,0.0,False,GROUND
6/4/2025, 08:04:08,  +00:00,     GV,-1.3003169,35.0590935,4815.0,29.92,5106.1,26.2,0.0,0.0,-3.73,1.29,-0.35,0.01,0.0,36.7,72.3,28.5,50.4,84.18,67.94,23.37,166.52,91.75,251.23,1378.2,69.21,674.25,5054.3,0.0,  GPS,92.7,113.1,115.9,118.0,125.3,-0.051,       ,       ,      ,95.0,92.6,0.9,0.0,  NONE,   NONE,      ,      ,0.0,     3D,3704.0,      ,       ,66.0,       ,0.0,5106.1,0,False,1.0,251.23,-3.73,-8.193000000000001,0.01,0.1000000000003638,False,GROUND
6/4/2025, 08:04:09,  +00:00,     GV,-1.3003169,35.0590935,4815.0,29.92,5106.1,26.0,0.0,0.0,-8.96,1.24,-0.35,0.0,-0.01,36.7,72.3,28.5,49.7,84.05,67.79,24.97,166.35,91.51,274.97,1448.18,71.4,658.94,5054.3,0.0,  GPS,92.7,113.1,115.9,118.0,125.3,-0.051,       ,       ,      ,95.0,92.6,0.9,0.0,  NONE,   NONE,      ,      ,0.0,     3D,3704.0,      ,       ,66.0,       ,0.0,5106.1,0,False,1.0,274.97,-8.96,-8.130999999999998,-0.01,0.1000000000003638,False,GROUND
6/4/2025, 08:04:10,  +00:00,     GV,-1.3003169,35.0590935,4815.0,29.92,5106.1,26.0,0.0,0.0,-7.7,1.14,-0.35,0.01,0.0,36.6,72.3,28.5,49.1,84.05,67.79,26.67,166.16,91.39,307.54,1541.7,74.02,657.91,5054.3,0.0,  GPS,92.7,113.1,115.9,118.0,125.3,-0.051,       ,       ,      ,95.0,92.6,0.9,0.0,  NONE,   NONE,      ,      ,0.0,     3D,3704.0,      ,       ,66.0,       ,0.0,5106.1,0,False,1.0,307.54,-7.7,-7.882,0.01,0.1000000000003638,False,GROUND
6/4/2025, 08:04:11,  +00:00,     GV,-1.3003163,35.0590935,4815.0,29.92,5106.1,26.0,0.0,0.0,-5.39,1.16,-0.37,0.0,-0.01,36.5,72.3,28.5,48.8,83.92,67.79,26.88,165.96,91.14,329.09,1614.64,75.08,648.22,5054.3,0.0,  GPS,92.7,113.1,115.9,118.0,125.3,-0.051,       ,       ,      ,95.0,92.6,0.9,0.0,  NONE,   NONE,      ,      ,3.9,     3D,3704.0,      ,       ,66.0,       ,0.0,5106.1,0,False,1.0,329.09,-5.39,-7.147,-0.01,0.1000000000003638,False,GROUND
6/4/2025, 08:04:12,  +00:00,     GV,-1.3003159,35.0590935,4815.0,29.92,5106.2,26.0,0.0,0.0,-9.04,1.14,-0.36,0.01,0.0,36.4,72.3,28.5,48.2,83.92,67.79,26.7,165.77,91.12,335.73,1656.07,75.17,630.01,5054.4,0.0,  GPS,92.7,113.1,115.9,118.0,125.3,-0.051,       ,       ,      ,95.0,92.6,0.9,0.0,  NONE,   NONE,      ,      ,0.0,     3D,3704.0,      ,       ,66.0,       ,0.0,5106.2,0,False,1.0,335.73,-9.04,-7.001,0.01,0.1999999999998181,False,GROUND
