Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltB,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,amp1,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 Torq,E1 NP,E1 NG,E1 ITT,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,AIRSPEED_AVG,ALTITUDE_AVG,FLAPS_AVG,SPEEDBRAKE_DEPLOYED,VERTICAL_ACCEL,TQ_AVG,VERTICAL_SPEED,VERTICAL_SPEED_SMOOTH,ACCEL_NORM_DIFF,ALTITUDE_AGL,IS_AIRBORNE,PHASE
7/25/2026, 04:01:03,  +00:00,       ,-1.3189286,36.8136978,5434.1,30.18,5500.6,15.5,0,0,0,1.1,0.64,-0.01,0,255.7,269.8,28.5,12.1,86.75,93.84,16.9,73.59,95.52,107.53,1076.56,53.93,605.15,5449.1,0,  GPS,53,113.1,115.9,121.9,132.325,       ,       ,       ,      ,       ,       ,0.2,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,83,       ,0,5500.6,0,FALSE,1,107.53,0,0,,0,FALSE,GROUND
7/25/2026, 04:01:04,  +00:00,       ,-1.3189288,36.8136978,5434.1,30.18,5500.6,15.5,0,0,0,1.12,0.63,-0.01,0,255.7,269.8,28.5,12,86.75,93.84,16.9,73.73,95.49,107.52,1076.76,53.95,605.37,5449.1,0,  GPS,53,113.1,115.9,121.9,132.325,       ,       ,       ,      ,       ,       ,0.2,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,83,       ,0,5500.6,0,FALSE,1,107.52,0,0,0,0,FALSE,GROUND
7/25/2026, 04:01:05,  +00:00,       ,-1.3189288,36.8136978,5434.1,30.18,5500.6,15.5,0,0,0,1.12,0.62,-0.01,0,255.7,269.8,28.5,11.7,86.75,93.84,16.88,73.95,95.48,107.6,1077.04,53.94,605.59,5449.1,0,  GPS,53,113.1,115.9,121.9,132.325,       ,       ,       ,      ,       ,       ,0.2,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,83,       ,0,5500.6,0,FALSE,1,107.6,0,0,0,0,FALSE,GROUND
7/25/2026, 04:01:06,  +00:00,       ,-1.3189292,36.8136978,5434.1,30.18,5500.6,15.5,0,0,0,1.11,0.63,-0.01,0,255.7,269.8,28.5,11.6,86.75,93.91,16.87,74.18,95.4,107.78,1077.08,53.94,605.88,5449.1,0,  GPS,53,113.1,115.9,121.9,132.325,       ,       ,       ,      ,       ,       ,0.2,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,83,       ,0,5500.6,0,FALSE,1,107.78,0,0,0,0,FALSE,GROUND
7/25/2026, 04:01:07,  +00:00,       ,-1.3189292,36.8136978,5434.1,30.18,5500.7,15.5,0,0,0,1.1,0.63,-0.01,0,255.7,269.8,28.5,11.3,86.75,93.97,16.87,74.4,95.39,107.88,1077.22,53.94,606.33,5449.2,0,  GPS,53,113.1,115.9,121.9,132.325,       ,       ,       ,      ,       ,       ,0.2,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,83,       ,0,5500.7,0,FALSE,1,107.88,0,0,0,0.1,FALSE,GROUND
7/25/2026, 04:01:08,  +00:00,       ,-1.3189286,36.8136978,5434.1,30.18,5500.6,15.5,0,0,0,1.09,0.62,-0.01,0,255.7,269.8,28.5,11.2,86.75,93.97,16.87,74.63,95.32,107.91,1077.68,53.96,606.6,5449.1,0,  GPS,53,113.1,115.9,121.9,132.325,       ,       ,       ,      ,       ,       ,0.2,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,83,       ,0,5500.6,0,FALSE,1,107.91,0,0,0,0,FALSE,GROUND
7/25/2026, 04:01:09,  +00:00,       ,-1.3189286,36.8136978,5434.1,30.18,5500.7,15.5,0,0,0,1.12,0.62,0,0,255.7,269.8,28.5,11,86.75,93.97,16.86,74.85,95.27,107.94,1078.41,53.96,606.7,5449.2,0,  GPS,53,113.1,115.9,121.9,132.325,       ,       ,       ,      ,       ,       ,0.2,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,83,       ,0,5500.7,0,FALSE,1,107.94,0,0,0,0.1,FALSE,GROUND
7/25/2026, 04:01:10,  +00:00,       ,-1.3189286,36.8136978,5515.3,30.27,5500.8,15.5,0,0,0,1.12,0.62,-0.01,0,255.7,269.8,28.5,10.8,86.63,93.97,16.87,75.08,95.23,107.95,1079.29,53.98,606.89,5449.3,0,  GPS,53,113.1,115.9,121.9,132.325,       ,       ,       ,      ,       ,       ,0.2,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,83,       ,0,5500.8,0,FALSE,1,107.95,0,0,0,0.2,FALSE,GROUND
7/25/2026, 04:01:11,  +00:00,       ,-1.3189284,36.8136978,5515.3,30.27,5500.9,15.5,0,0,0,1.12,0.63,-0.01,0,255.7,269.8,28.5,10.5,86.63,94.03,16.86,75.31,95.23,107.97,1080.16,53.99,607.27,5449.5,0,  GPS,53,113.1,115.9,121.9,132.325,       ,       ,       ,      ,       ,       ,0.2,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,83,       ,0,5500.9,0,FALSE,1,107.97,0,-0.064,0,0.3,FALSE,GROUND
7/25/2026, 04:01:12,  +00:00,       ,-1.3189286,36.8136978,5515.3,30.27,5501.2,15.5,0,0,0,1.11,0.64,-0.01,0,255.7,269.8,28.5,10.3,86.63,94.03,16.87,75.54,95.18,107.81,1080.81,53.98,607.66,5449.7,0,  GPS,53,113.1,115.9,121.9,132.325,       ,       ,       ,      ,       ,       ,0.2,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,83,       ,0,5501.2,0,FALSE,1,107.81,0,-0.264,0,0.6,FALSE,GROUND
