Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltB,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,amp1,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 Torq,E1 NP,E1 NG,E1 ITT,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,AIRSPEED_AVG,ALTITUDE_AVG,FLAPS_AVG,SPEEDBRAKE_DEPLOYED,VERTICAL_ACCEL,TQ_AVG,VERTICAL_SPEED,VERTICAL_SPEED_SMOOTH,ACCEL_NORM_DIFF,ALTITUDE_AGL,IS_AIRBORNE,PHASE
7/25/2026, 04:56:05,  +00:00,       ,-2.5307069,37.7304077,3525,29.92,3785.6,19,0,0,-0.04,0,0.11,0,-0.01,132,139.9,28.6,34,66.29,74.95,16.99,165.15,87.35,108.59,1108.42,54,631.01,3724.3,0,  GPS,156.2,113.1,115.9,125.3,118,       ,       ,       ,      ,       ,       ,-0.4,0,    WL,    PIT,0.1,0,0,     3D,3704,      ,       ,97,       ,0,3785.6,0,FALSE,1,108.59,-0.04,-0.04,,0.4,FALSE,GROUND
7/25/2026, 04:56:05,  +00:00,       ,-2.5307064,37.7304077,3525,29.92,3785.6,19,0,0,-0.02,0.01,0.1,0,-0.01,132,139.9,28.6,33.8,66.44,74.78,16.99,165.1,87.37,108.68,1109.09,54,631.35,3724.3,0,  GPS,156.2,113.1,115.9,125.3,118,       ,       ,       ,      ,       ,       ,-0.4,0,    WL,    PIT,0,0,0,     3D,3704,      ,       ,97,       ,0,3785.6,0,FALSE,1,108.68,-0.02,-0.02,0,0.4,FALSE,GROUND
7/25/2026, 04:56:06,  +00:00,       ,-2.5307069,37.7304077,3525,29.92,3785.6,19,0,0,-0.01,0,0.1,0,0,132,139.9,28.6,33.5,66.44,74.78,16.99,165.02,87.35,108.79,1109.56,54.03,631.52,3724.3,0,  GPS,156.2,113.1,115.9,125.3,118,       ,       ,       ,      ,       ,       ,-0.4,0,    WL,    PIT,0,0,0,     3D,3704,      ,       ,97,       ,0,3785.6,0,FALSE,1,108.79,-0.01,-0.01,0.01,0.4,FALSE,GROUND
7/25/2026, 04:56:07,  +00:00,       ,-2.5307069,37.7304077,3525,29.92,3785.6,19,0,0,0,-0.01,0.1,0,0.01,132,139.9,28.6,33.2,66.44,74.78,16.97,164.94,87.38,108.92,1110.13,54.04,631.64,3724.3,0,  GPS,156.2,113.1,115.9,125.3,118,       ,       ,       ,      ,       ,       ,-0.4,0,    WL,    PIT,0,0,0,     3D,3704,      ,       ,97,       ,0,3785.6,0,FALSE,1,108.92,0,0,0.01,0.4,FALSE,GROUND
7/25/2026, 04:56:09,  +00:00,       ,-2.5307064,37.7304077,3525,29.92,3785.6,19,0,0,0.92,-0.02,0.09,0,0,132,139.9,28.6,33.2,66.44,74.78,16.97,164.85,87.39,109.23,1110.57,54.04,631.82,3724.3,0,  GPS,156.2,113.1,115.9,125.3,118,       ,       ,       ,      ,       ,       ,-0.4,0,    WL,    PIT,0,0,0,     3D,3704,      ,       ,97,       ,0,3785.6,0,FALSE,1,109.23,0.92,0.92,-0.01,0.4,FALSE,GROUND
7/25/2026, 04:56:10,  +00:00,   HKFH,-2.5307064,37.7304077,3525,29.92,3785.7,19,0,0,4.73,-0.01,0.12,0,0,132,139.9,28.6,33.1,66.44,74.95,16.98,164.78,87.38,109.5,1110.83,54.06,632.09,3724.4,0,  GPS,156.2,113.1,115.9,125.3,118,0,       ,       ,      ,27,156.3,-0.4,0,    WL,    PIT,0,0,0,     3D,3704,      ,       ,97,       ,0,3785.7,0,FALSE,1,109.5,4.73,-1.405,0,0.5,FALSE,GROUND
7/25/2026, 04:56:11,  +00:00,   HKFH,-2.5307064,37.7304077,3524,29.92,3785.8,19,0,0,-0.4,-0.02,0.11,0,0,132,139.9,28.6,32.8,66.44,74.95,16.98,164.71,87.39,109.47,1111.2,54.06,631.83,3724.5,0,  GPS,156.2,113.1,115.9,125.3,118,0,       ,       ,      ,27,156.3,-0.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,97,       ,0,3785.8,0,FALSE,1,109.47,-0.4,-1.557,0,0.6,FALSE,GROUND
7/25/2026, 04:56:12,  +00:00,   HKFH,-2.5307064,37.7304077,3524,29.92,3785.5,19,0,0,-8.29,-0.03,0.11,0,0,132,139.9,28.6,32.7,66.44,74.95,16.97,164.63,87.38,109.17,1110.88,54.07,632.38,3724.2,0,  GPS,156.2,113.1,115.9,125.3,118,0,       ,       ,      ,27,156.3,-0.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,97,       ,0,3785.5,0,FALSE,1,109.17,-8.29,-1.61,0,0.3,FALSE,GROUND
7/25/2026, 04:56:13,  +00:00,   HKFH,-2.5307064,37.7304077,3525,29.92,3785.5,19,0,0,-7.27,-0.02,0.09,0,0,132,139.9,28.5,32.5,66.44,74.95,16.99,164.57,87.39,109.15,1111.19,54.05,633.48,3724.2,0,  GPS,156.2,113.1,115.9,125.3,118,0,       ,       ,      ,27,156.3,-0.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,97,       ,0,3785.5,0,FALSE,1,109.15,-7.27,-1.05,0,0.3,FALSE,GROUND
7/25/2026, 04:56:14,  +00:00,   HKFH,-2.5307064,37.7304077,3524,29.92,3785.5,19,0,0,-3.67,-0.03,0.11,0,0.01,132,139.9,28.6,32.5,66.44,75.13,16.98,164.49,87.39,109.1,1112.16,54.05,633.45,3724.2,0,  GPS,156.2,113.1,115.9,125.3,118,0,       ,       ,      ,27,156.3,-0.4,0,  NONE,   NONE,      ,      ,3.9,     3D,3704,      ,       ,97,       ,0,3785.5,0,FALSE,1,109.1,-3.67,-0.105,0.01,0.3,FALSE,GROUND
