#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Cessna 208B", unit_software_part_number="006-B1177-6K", unit_software_version="20.92", system_software_part_number="006-B2499-12", system_id="264C94CC4", mode=NORMAL, flightstream_header="264C94CC4_5291", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,  5150.2, 29.91,        ,  15.8,   0.00,       ,  -15.94,   1.88,  -0.05,  -0.01,  -0.00, 256.3,      ,      ,      ,       ,       ,         ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  257.0, 113.10, 115.90, 121.900, 132.325,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,  5150.2, 29.91,        ,  15.8,   0.00,       ,  -10.93,   1.92,  -0.01,  -0.01,  -0.00, 256.3,      ,      ,      ,       ,       ,         ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  257.0, 113.10, 115.90, 121.900, 132.325,       ,       ,       ,      ,       ,       ,    0.2,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-07-11, 06:36:52,  +00:00,       ,             ,             ,  5150.2, 29.91,        ,  15.8,   0.00,       ,  -11.04,   1.97,  -0.01,  -0.01,  -0.00, 256.3,      ,      ,      ,       ,       ,         ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  257.0, 113.10, 115.90, 121.900, 132.325,       ,       ,       ,      ,       ,       ,    0.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-07-11, 06:36:53,  +00:00,       ,             ,             ,  5150.2, 29.91,        ,  15.8,   0.00,       ,  -13.44,   1.98,   0.00,  -0.01,   0.00, 256.3,      ,      ,      ,       ,       ,         ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  257.0, 113.10, 115.90, 121.900, 132.325,       ,       ,       ,      ,       ,       ,    0.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-07-11, 06:36:54,  +00:00,       ,             ,             ,  5150.2, 29.91,        ,  15.8,   0.00,       ,  -13.18,   2.00,  -0.01,  -0.01,   0.00, 256.3,      ,      ,      ,       ,       ,         ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  257.0, 113.10, 115.90, 121.900, 132.325,       ,       ,       ,      ,       ,       ,    0.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-07-11, 06:36:55,  +00:00,       ,             ,             ,  5150.2, 29.91,        ,  15.8,   0.00,       ,  -12.82,   2.04,   0.07,  -0.01,  -0.00, 256.3,      ,  28.4,  20.2, 100.12, 105.10,     0.00,   64.83,   -1.11,  -19.98,    0.00,    0.00,   18.86,        ,   0,  GPS,  257.0, 113.10, 115.90, 121.900, 132.325,       ,       ,       ,      ,       ,       ,    0.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-07-11, 06:36:56,  +00:00,       ,             ,             ,  5150.2, 29.91,        ,  15.8,   0.00,       ,  -14.26,   2.02,  -0.01,  -0.00,  -0.00, 256.3,      ,  28.4,  20.1, 100.04, 105.10,     0.00,   64.83,   -1.11,  -19.99,    0.00,    0.00,   18.86,        ,   0,  GPS,  257.0, 113.10, 115.90, 121.900, 132.325,       ,       ,       ,      ,       ,       ,    0.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-07-11, 06:36:57,  +00:00,       ,             ,             ,  5150.2, 29.91,        ,  15.8,   0.00,       ,  -12.53,   2.09,   0.10,  -0.02,   0.00, 256.3,      ,  28.4,  19.7,  99.97, 105.18,     0.00,   64.83,   -1.11,  -19.99,    0.00,    0.00,   18.86,        ,   0,  GPS,  257.0, 113.10, 115.90, 121.900, 132.325,       ,       ,       ,      ,       ,       ,    0.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-07-11, 06:36:58,  +00:00,       ,             ,             ,  5150.2, 29.91,        ,  15.8,   0.00,       ,  -10.83,   2.11,   0.08,  -0.01,  -0.00, 256.3,      ,  28.4,  19.7,  99.97, 105.18,     0.00,   64.83,   -1.10,  -20.01,    0.00,    0.00,   18.87,        ,   0,  GPS,  257.0, 113.10, 115.90, 121.900, 132.325,       ,       ,       ,      ,       ,       ,    0.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-07-11, 06:36:59,  +00:00,       ,             ,             ,  5150.2, 29.91,        ,  15.8,   0.00,       ,  -11.69,   2.16,   0.11,  -0.00,   0.01, 256.3,      ,  28.4,  19.3,  99.97, 105.18,     0.00,   64.83,   -1.11,  -20.01,    0.00,    0.00,   18.87,        ,   0,  GPS,  257.0, 113.10, 115.90, 121.900, 132.325,       ,       ,       ,      ,       ,       ,    0.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
